Stock,Date,Price,Open,High,Low,Volume,Previous Close,Intraday Price Change,Intraday %,Interday Price Change,Daily Return %,High-Low Range,High-Low % Range,Volume % Change,7-Day Moving Avg,7-Day Volatility,Risk Level,Day Type,Month,Year
Axis Bank,28/09/2020,439.25,420.00,440.60,418.05,"19,390,000",426.85,19.25,4.58%,12.4,2.91%,22.55,5.13%,-5.23%,440.19,2.46%,Medium,Up Day,September,2020
Axis Bank,29/09/2020,426.85,442.40,443.30,424.80,"20,000,000",424.65,-15.55,-3.51%,2.2,0.52%,18.5,4.33%,3.15%,442.00,2.64%,Medium,Up Day,September,2020
Axis Bank,30/09/2020,424.65,427.00,428.10,418.75,"18,490,000",443.7,-2.35,-0.55%,-19.05,-4.29%,9.35,2.20%,-7.55%,447.89,2.92%,High,Down Day,September,2020
Axis Bank,01/10/2020,443.70,430.20,445.30,427.40,"21,080,000",444.15,13.5,3.14%,-0.45,-0.10%,17.9,4.03%,14.01%,454.08,2.24%,High,Down Day,October,2020
Axis Bank,05/10/2020,444.15,444.05,456.45,439.05,"24,250,000",449.65,0.1,0.02%,-5.5,-1.22%,17.4,3.92%,15.04%,456.60,2.04%,High,Down Day,October,2020
Axis Bank,06/10/2020,449.65,449.50,452.70,442.70,"19,390,000",453.1,0.15,0.03%,-3.45,-0.76%,10,2.22%,-20.04%,460.48,1.94%,High,Down Day,October,2020
Axis Bank,07/10/2020,453.10,447.00,455.95,443.50,"19,870,000",451.9,6.1,1.36%,1.2,0.27%,12.45,2.75%,2.48%,462.33,1.63%,High,Up Day,October,2020
Axis Bank,08/10/2020,451.90,455.55,461.65,447.25,"20,910,000",468.05,-3.65,-0.80%,-16.15,-3.45%,14.4,3.19%,5.23%,465.09,1.53%,High,Down Day,October,2020
Axis Bank,09/10/2020,468.05,453.30,469.80,450.15,"28,050,000",468,14.75,3.25%,0.05,0.01%,19.65,4.20%,34.15%,470.95,2.24%,Medium,Up Day,October,2020
Axis Bank,12/10/2020,468.00,473.50,480.00,462.30,"21,260,000",461.35,-5.5,-1.16%,6.65,1.44%,17.7,3.78%,-24.21%,474.65,2.84%,Medium,Up Day,October,2020
Axis Bank,13/10/2020,461.35,465.90,473.00,459.75,"15,580,000",471.3,-4.55,-0.98%,-9.95,-2.11%,13.25,2.87%,-26.72%,479.43,3.41%,Medium,Down Day,October,2020
Axis Bank,14/10/2020,471.30,458.00,474.65,454.00,"13,980,000",462.6,13.3,2.90%,8.7,1.88%,20.65,4.38%,-10.27%,486.42,3.65%,Medium,Up Day,October,2020
Axis Bank,15/10/2020,462.60,473.40,481.95,460.00,"28,990,000",472.4,-10.8,-2.28%,-9.8,-2.07%,21.95,4.74%,107.37%,491.55,3.63%,High,Down Day,October,2020
Axis Bank,16/10/2020,472.40,465.15,475.50,463.00,"16,290,000",492.95,7.25,1.56%,-20.55,-4.17%,12.5,2.65%,-43.81%,495.94,2.52%,High,Down Day,October,2020
Axis Bank,19/10/2020,492.95,477.05,495.90,476.25,"28,130,000",493.95,15.9,3.33%,-1,-0.20%,19.65,3.99%,72.68%,501.04,1.52%,High,Down Day,October,2020
Axis Bank,20/10/2020,493.95,485.85,498.65,485.10,"21,380,000",501.45,8.1,1.67%,-7.5,-1.50%,13.55,2.74%,-24.00%,502.72,1.35%,High,Down Day,October,2020
Axis Bank,21/10/2020,501.45,496.90,507.50,486.60,"27,030,000",510.3,4.55,0.92%,-8.85,-1.73%,20.9,4.17%,26.43%,502.71,1.36%,High,Down Day,October,2020
Axis Bank,22/10/2020,510.30,496.00,513.00,495.65,"30,020,000",507.2,14.3,2.88%,3.1,0.61%,17.35,3.40%,11.06%,501.43,1.57%,High,Up Day,October,2020
Axis Bank,23/10/2020,507.20,513.90,515.50,504.50,"18,810,000",493.35,-6.7,-1.30%,13.85,2.81%,11,2.17%,-37.34%,503.19,2.18%,High,Up Day,October,2020
Axis Bank,26/10/2020,493.35,508.25,509.85,490.90,"17,450,000",508.1,-14.9,-2.93%,-14.75,-2.90%,18.95,3.84%,-7.23%,507.04,3.18%,High,Down Day,October,2020
Axis Bank,27/10/2020,508.10,494.00,512.25,482.65,"24,240,000",504.7,14.1,2.85%,3.4,0.67%,29.6,5.83%,38.91%,511.59,3.15%,High,Up Day,October,2020
Axis Bank,28/10/2020,504.70,510.80,517.50,493.50,"30,340,000",493.85,-6.1,-1.19%,10.85,2.20%,24,4.76%,25.17%,516.04,3.69%,High,Up Day,October,2020
Axis Bank,29/10/2020,493.85,506.00,516.35,489.35,"50,930,000",492.5,-12.15,-2.40%,1.35,0.27%,27,5.47%,67.86%,521.34,3.92%,High,Up Day,October,2020
Axis Bank,30/10/2020,492.50,495.00,501.55,481.60,"23,140,000",522.65,-2.5,-0.51%,-30.15,-5.77%,19.95,4.05%,-54.57%,531.51,4.16%,High,Down Day,October,2020
Axis Bank,02/11/2020,522.65,496.85,531.70,495.10,"37,600,000",534.15,25.8,5.19%,-11.5,-2.15%,36.6,7.00%,62.49%,544.52,4.07%,High,Down Day,November,2020
Axis Bank,03/11/2020,534.15,525.00,537.00,524.00,"25,990,000",525.15,9.15,1.74%,9,1.71%,13,2.43%,-30.88%,556.81,5.45%,High,Up Day,November,2020
Axis Bank,04/11/2020,525.15,525.10,533.85,511.00,"28,910,000",539.3,0.05,0.01%,-14.15,-2.62%,22.85,4.35%,11.24%,566.17,5.69%,High,Down Day,November,2020
Axis Bank,05/11/2020,539.30,534.90,542.50,527.55,"23,730,000",541.75,4.4,0.82%,-2.45,-0.45%,14.95,2.77%,-17.92%,578.34,5.22%,High,Down Day,November,2020
Axis Bank,06/11/2020,541.75,538.75,546.00,531.20,"22,260,000",565.05,3,0.56%,-23.3,-4.12%,14.8,2.73%,-6.19%,591.13,5.05%,High,Down Day,November,2020
Axis Bank,09/11/2020,565.05,550.00,568.00,548.25,"26,040,000",583.6,15.05,2.74%,-18.55,-3.18%,19.75,3.50%,16.98%,604.64,4.09%,High,Down Day,November,2020
Axis Bank,10/11/2020,583.60,572.00,588.00,568.25,"34,940,000",608.65,11.6,2.03%,-25.05,-4.12%,19.75,3.38%,34.18%,611.27,2.87%,Medium,Down Day,November,2020
Axis Bank,11/11/2020,608.65,579.85,611.15,576.40,"50,290,000",599.7,28.8,4.97%,8.95,1.49%,34.75,5.71%,43.93%,614.74,2.10%,Medium,Up Day,November,2020
Axis Bank,12/11/2020,599.70,601.95,610.45,588.80,"34,240,000",610.35,-2.25,-0.37%,-10.65,-1.74%,21.65,3.61%,-31.91%,612.87,2.41%,Medium,Down Day,November,2020
Axis Bank,13/11/2020,610.35,595.00,612.35,584.30,"28,810,000",628.8,15.35,2.58%,-18.45,-2.93%,28.05,4.60%,-15.86%,615.72,2.22%,Medium,Down Day,November,2020
Axis Bank,17/11/2020,628.80,613.15,630.90,609.00,"25,960,000",636.3,15.65,2.55%,-7.5,-1.18%,21.9,3.48%,-9.89%,614.22,2.42%,Low,Down Day,November,2020
Axis Bank,18/11/2020,636.30,625.00,640.00,622.05,"24,930,000",611.5,11.3,1.81%,24.8,4.06%,17.95,2.82%,-3.97%,611.90,2.20%,Medium,Up Day,November,2020
Axis Bank,19/11/2020,611.50,619.00,633.00,609.05,"26,530,000",607.85,-7.5,-1.21%,3.65,0.60%,23.95,3.92%,6.42%,606.94,1.38%,Medium,Up Day,November,2020
Axis Bank,20/11/2020,607.85,615.00,616.50,592.00,"29,560,000",595.6,-7.15,-1.16%,12.25,2.06%,24.5,4.03%,11.42%,605.82,1.35%,Medium,Up Day,November,2020
Axis Bank,23/11/2020,595.60,610.95,612.60,592.70,"23,730,000",619.65,-15.35,-2.51%,-24.05,-3.88%,19.9,3.34%,-19.72%,605.86,1.35%,Medium,Down Day,November,2020
Axis Bank,24/11/2020,619.65,603.00,622.60,600.55,"30,740,000",599.85,16.65,2.76%,19.8,3.30%,22.05,3.56%,29.54%,606.87,1.17%,Medium,Up Day,November,2020
Axis Bank,25/11/2020,599.85,625.00,630.00,596.00,"35,120,000",612.55,-25.15,-4.02%,-12.7,-2.07%,34,5.67%,14.25%,606.14,0.94%,Medium,Down Day,November,2020
